u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
42429645,42429646,0,955301423,Eldridge Street,residential,25 mph,True,False,143.758,"LINESTRING (-73.9912489 40.7195624, -73.9912007 40.7196562, -73.9906547 40.7207239, -73.9906322 40.7207678)",,,,,,,
42429645,42429756,0,955301424,Delancey Street,primary,25 mph,True,False,77.55199999999999,"LINESTRING (-73.9912489 40.7195624, -73.9913162 40.7195828, -73.9919844 40.7197855, -73.9920169 40.7197954, -73.9921032 40.7198216)",4,,,,,,
42429646,42429647,0,955301423,Eldridge Street,residential,25 mph,True,False,137.611,"LINESTRING (-73.9906322 40.7207678, -73.9906064 40.7208182, -73.990042 40.7219217)",,,,,,,
42429646,42437111,0,1202563952,Rivington Street,residential,25 mph,True,False,77.246,"LINESTRING (-73.9906322 40.7207678, -73.9906969 40.7207878, -73.9914084 40.7210078, -73.9914809 40.7210302)",,,,,,,
42429647,42432057,0,439842838,Stanton Street,residential,,True,False,69.47,"LINESTRING (-73.990042 40.7219217, -73.9899713 40.7218964, -73.9893649 40.7217102, -73.9892792 40.7216851)",,,,,,,
42429647,1918039876,0,955301423,Eldridge Street,residential,25 mph,True,False,141.29799999999997,"LINESTRING (-73.990042 40.7219217, -73.9899409 40.7221194, -73.989513 40.7229564, -73.98948 40.723021, -73.9894363 40.7231066)",,,,,,,
42429657,42428174,0,464683316,East 18th Street,residential,25 mph,True,False,160.907,"LINESTRING (-73.9918061 40.7385111, -73.9916814 40.7384583, -73.9902254 40.7378413, -73.9901393 40.7378047)",1,,,,,,
42429657,42439272,0,889114533,5th Avenue,secondary,25 mph,True,False,75.126,"LINESTRING (-73.9918061 40.7385111, -73.991848 40.7384571, -73.992199 40.7379888, -73.9922478 40.7379242)",3,,,,,,
42429659,42429657,0,194923795,West 18th Street,residential,25 mph,True,False,309.394,"LINESTRING (-73.995018 40.73986, -73.9948947 40.7398082, -73.9938551 40.7393715, -73.991926 40.7385618, -73.9918061 40.7385111)",,,,,,,
42429659,42430263,0,"[1266830888, 1266830889]",6th Avenue,secondary,25 mph,True,False,73.96100000000001,"LINESTRING (-73.995018 40.73986, -73.9949744 40.7399197, -73.9947027 40.7402918, -73.9946284 40.7403936, -73.994593 40.740442)",5,,,,,,
42429661,42429659,0,194923795,West 18th Street,residential,25 mph,True,False,274.039,"LINESTRING (-73.997862 40.741056, -73.9977211 40.7409968, -73.9951573 40.7399186, -73.995018 40.73986)",,,,,,,
