osmid,y,x,highway,street_count,ref,geometry
42442960,40.758647,-73.9657958,traffic_signals,4,,POINT (-73.9657958 40.758647)
42442961,40.7599916,-73.9648028,traffic_signals,4,,POINT (-73.9648028 40.7599916)
42442963,40.7624978,-73.9629826,traffic_signals,4,,POINT (-73.9629826 40.7624978)
42442977,40.7643672,-73.9616072,traffic_signals,4,,POINT (-73.9616072 40.7643672)
42442983,40.7649919,-73.9611441,traffic_signals,4,,POINT (-73.9611441 40.7649919)
42443000,40.7668715,-73.9597829,traffic_signals,4,,POINT (-73.9597829 40.7668715)
42443009,40.7681385,-73.9588757,traffic_signals,4,,POINT (-73.9588757 40.7681385)
42443020,40.7714057,-73.956491,traffic_signals,4,,POINT (-73.956491 40.7714057)
42443024,40.7720395,-73.9560266,traffic_signals,4,,POINT (-73.9560266 40.7720395)
42443027,40.7733539,-73.9550691,traffic_signals,4,,POINT (-73.9550691 40.7733539)
42443029,40.774666,-73.9540995,traffic_signals,4,,POINT (-73.9540995 40.774666)
42443032,40.7759238,-73.9531654,traffic_signals,4,,POINT (-73.9531654 40.7759238)
42443037,40.7771941,-73.9522399,traffic_signals,4,,POINT (-73.9522399 40.7771941)
42443040,40.778551,-73.951248,traffic_signals,4,,POINT (-73.951248 40.778551)
42443042,40.7791759,-73.9507943,traffic_signals,4,,POINT (-73.9507943 40.7791759)
42443044,40.7804348,-73.9498809,traffic_signals,4,,POINT (-73.9498809 40.7804348)
42443046,40.7810699,-73.9494125,traffic_signals,3,,POINT (-73.9494125 40.7810699)
42443048,40.7816881,-73.9489622,traffic_signals,4,,POINT (-73.9489622 40.7816881)
42443050,40.7823112,-73.9485053,traffic_signals,4,,POINT (-73.9485053 40.7823112)
42443052,40.7829443,-73.9480373,traffic_signals,4,,POINT (-73.9480373 40.7829443)
42443054,40.7842494,-73.9470901,traffic_signals,4,,POINT (-73.9470901 40.7842494)
42443056,40.7849455,-73.9465916,traffic_signals,4,,POINT (-73.9465916 40.7849455)
42443058,40.7861808,-73.9457073,traffic_signals,4,,POINT (-73.9457073 40.7861808)
42443061,40.7868144,-73.9452422,traffic_signals,3,,POINT (-73.9452422 40.7868144)
42443066,40.7899429,-73.9429284,traffic_signals,4,,POINT (-73.9429284 40.7899429)
42443068,40.7906269,-73.9424329,traffic_signals,4,,POINT (-73.9424329 40.7906269)
42443072,40.7925561,-73.9410289,traffic_signals,4,,POINT (-73.9410289 40.7925561)
42443077,40.7938155,-73.9401082,traffic_signals,4,,POINT (-73.9401082 40.7938155)
42443078,40.7944609,-73.9396345,traffic_signals,4,,POINT (-73.9396345 40.7944609)
42443081,40.7950753,-73.9391857,traffic_signals,4,,POINT (-73.9391857 40.7950753)
42443085,40.7970162,-73.9377697,traffic_signals,4,,POINT (-73.9377697 40.7970162)
42443088,40.7976795,-73.9372797,traffic_signals,4,,POINT (-73.9372797 40.7976795)
42443092,40.7995598,-73.9359116,traffic_signals,4,,POINT (-73.9359116 40.7995598)
42443096,40.8001963,-73.9354447,traffic_signals,4,,POINT (-73.9354447 40.8001963)
42443099,40.8008201,-73.9349913,traffic_signals,4,,POINT (-73.9349913 40.8008201)
42443105,40.8014525,-73.9345304,traffic_signals,4,,POINT (-73.9345304 40.8014525)
42443116,40.8027638,-73.9335768,traffic_signals,4,,POINT (-73.9335768 40.8027638)
42443118,40.8040729,-73.9326682,traffic_signals,4,,POINT (-73.9326682 40.8040729)
